Gene	FDR
hsa.let.7a.1	3.63349025907337e-09
hsa.let.7a.2	3.57644024774177e-09
hsa.let.7a.3	6.55882488404936e-09
hsa.let.7b	4.35865608020656e-11
hsa.let.7c	1.33673932492331e-47
hsa.let.7d	3.45791033267489e-66
hsa.let.7e	3.55063508422427e-05
hsa.let.7f.1	0.258508923612959
hsa.let.7f.2	5.15498890007175e-05
hsa.let.7g	2.09119296947214e-26
hsa.let.7i	3.9222666946977e-42
hsa.mir.1.1	0.709653522579933
hsa.mir.1.2	1.22855728010706e-08
hsa.mir.100	1.31102786020749e-38
hsa.mir.101.1	1.30847140045616e-12
hsa.mir.101.2	1.03428801645413e-40
hsa.mir.103.1	2.1728947399376e-17
hsa.mir.103.1.as	0.39470579723053
hsa.mir.103.2	2.57088245825645e-32
hsa.mir.103.2.as	0.611643127055592
hsa.mir.105.1	3.42080669272641e-27
hsa.mir.105.2	2.31229763266463e-30
hsa.mir.106a	1.02553959922381e-15
hsa.mir.106b	7.09683314496189e-50
hsa.mir.107	4.29453567055506e-15
hsa.mir.10a	1.7566692869484e-30
hsa.mir.10b	2.31427974029662e-33
hsa.mir.1178	0.310937933523546
hsa.mir.1179	0.455598678276586
hsa.mir.1180	7.87469613351977e-16
hsa.mir.1181	0.105688998889081
hsa.mir.1182	0.611643127055592
hsa.mir.1184.1	0.236607088556722
hsa.mir.1184.2	0.611643127055592
hsa.mir.1185.1	4.63390799842784e-10
hsa.mir.1185.2	0.000469201052084601
hsa.mir.1193	2.92058029467153e-06
hsa.mir.1197	0.00356988595915081
hsa.mir.1203	0.0625245807209454
hsa.mir.1204	0.501250362655177
hsa.mir.1205	0.677289872324651
hsa.mir.1206	0.604762521381837
hsa.mir.122	0.923651866321328
hsa.mir.1224	2.16761604482251e-12
hsa.mir.1225	0.0983456247433843
hsa.mir.1226	3.69912145490725e-46
hsa.mir.1227	3.70781011885059e-11
hsa.mir.1228	4.49155741434099e-11
hsa.mir.1229	2.40495507242158e-41
hsa.mir.1231	0.19095140451331
hsa.mir.1233.2	0.501250362655177
hsa.mir.1234	0.0016386639412772
hsa.mir.1236	0.000183949468079767
hsa.mir.1237	4.2527198052809e-07
hsa.mir.1238	0.111733172132402
hsa.mir.124.1	0.793069931280697
hsa.mir.124.2	0.653395404430279
hsa.mir.124.3	0.36205730814267
hsa.mir.1243	3.12611526812417e-05
hsa.mir.1244.1	0.709653522579933
hsa.mir.1244.2	0.808266613966743
hsa.mir.1244.3	0.611643127055592
hsa.mir.1245	4.01251059051679e-10
hsa.mir.1246	5.74888471956009e-11
hsa.mir.1247	1.80209129467751e-14
hsa.mir.1248	2.26339650572669e-11
hsa.mir.1249	7.51151237699856e-18
hsa.mir.1250	5.12591059811375e-06
hsa.mir.1251	1.34304001479738e-20
hsa.mir.1252	0.00289714701433009
hsa.mir.1253	0.147709993613495
hsa.mir.1254	2.606358076229e-25
hsa.mir.1255a	6.82151327498377e-09
hsa.mir.1256	0.00446049504627458
hsa.mir.1257	0.00178359690272038
hsa.mir.1258	1.76066527861617e-21
hsa.mir.125a	2.59815607201196e-39
hsa.mir.125b.1	3.16998823701839e-26
hsa.mir.125b.2	2.48179373773887e-45
hsa.mir.126	2.4192903659622e-34
hsa.mir.1260	0.106392510494142
hsa.mir.1260b	0.00837820597924743
hsa.mir.1261	0.604762521381837
hsa.mir.1262	2.02747783717782e-08
hsa.mir.1263	0.604762521381837
hsa.mir.1264	0.0278075693968542
hsa.mir.1265	0.000690924913132262
hsa.mir.1266	4.68506416269555e-19
hsa.mir.1267	0.588263843646094
hsa.mir.1269	1.77703818397013e-12
hsa.mir.127	2.57464113097461e-21
hsa.mir.1270.1	1.68637800222613e-12
hsa.mir.1270.2	1.70377443884611e-14
hsa.mir.1271	1.01474901246355e-47
hsa.mir.1272	0.548120097355053
hsa.mir.1273	0.611643127055592
hsa.mir.1273c	0.406801321926742
hsa.mir.1274a	0.604762521381837
hsa.mir.1274b	3.071428705073e-24
hsa.mir.1275	7.02750864998402e-05
hsa.mir.1276	1.16657420218037e-15
hsa.mir.1277	3.83218526421772e-55
hsa.mir.1278	0.0084321742729446
hsa.mir.128.1	4.4523650871986e-22
hsa.mir.128.2	1.02074864824852e-20
hsa.mir.1280	0.189428179709051
hsa.mir.1281	0.358459280543751
hsa.mir.1282	0.611643127055592
hsa.mir.1283.1	2.63946681790959e-21
hsa.mir.1283.2	3.26690883998053e-22
hsa.mir.1284	8.48243865409486e-07
hsa.mir.1285.1	0.00926325357188959
hsa.mir.1285.2	0.440012417331346
hsa.mir.1286	0.000318968399927331
hsa.mir.1287	1.68606243979729e-24
hsa.mir.1288	2.53713546573436e-09
hsa.mir.1289.1	0.43403651683436
hsa.mir.1289.2	0.918618712829826
hsa.mir.129.1	7.08331779485573e-12
hsa.mir.129.2	1.45672103338381e-15
hsa.mir.1290	0.00973175227973226
hsa.mir.1291	2.44202628921643e-09
hsa.mir.1292	5.15434367912729e-22
hsa.mir.1293	0.331134358299175
hsa.mir.1294	0.0203680328107218
hsa.mir.1295	1.01217588219853e-12
hsa.mir.1296	4.4105408169467e-27
hsa.mir.1297	0.611643127055592
hsa.mir.1298	0.0655135062441562
hsa.mir.1299	0.611643127055592
hsa.mir.1301	3.16174123202181e-71
hsa.mir.1302.3	0.0605054374695669
hsa.mir.1303	0.611643127055592
hsa.mir.1304	9.92761149215096e-22
hsa.mir.1305	0.00166365090196981
hsa.mir.1306	8.73098302130512e-77
hsa.mir.1307	4.13741942596008e-61
hsa.mir.130a	5.67045243556072e-25
hsa.mir.130b	1.72514342892645e-75
hsa.mir.132	2.21967471003211e-08
hsa.mir.1322	0.39470579723053
hsa.mir.1323	0.000101500194716341
hsa.mir.133a.1	0.00351891001799266
hsa.mir.133a.2	0.488454661578039
hsa.mir.133b	0.0436764422999312
hsa.mir.134	7.11233328582651e-29
hsa.mir.135a.1	1.56370004316385e-12
hsa.mir.135a.2	3.64690090905299e-12
hsa.mir.135b	3.62051820991958e-55
hsa.mir.136	7.05835989849303e-16
hsa.mir.137	3.36083905262196e-11
hsa.mir.138.1	6.74832796124145e-26
hsa.mir.138.2	5.48721856766011e-25
hsa.mir.139	1.81184881505473e-19
hsa.mir.140	3.60398412650324e-44
hsa.mir.141	2.99755296152824e-33
hsa.mir.142	7.07613145560709e-42
hsa.mir.143	1.59101952337377e-14
hsa.mir.144	0.0424509709094121
hsa.mir.145	1.80414988240771e-19
hsa.mir.1468	2.606358076229e-25
hsa.mir.1469	0.611643127055592
hsa.mir.146a	2.16973603806827e-28
hsa.mir.146b	1.58499270533646e-34
hsa.mir.147	0.611643127055592
hsa.mir.147b	5.12588248692721e-11
hsa.mir.148a	4.84546668653849e-22
hsa.mir.148b	1.35085380126222e-58
hsa.mir.149	1.53880735425481e-34
hsa.mir.150	4.86765258155011e-16
hsa.mir.151	5.58070902551931e-18
hsa.mir.152	3.96667000667931e-06
hsa.mir.153.1	2.12684826872742e-12
hsa.mir.153.2	3.91355658722106e-31
hsa.mir.1537	4.071768966486e-10
hsa.mir.1538	1.11004261771166e-06
hsa.mir.1539	0.0284769903956487
hsa.mir.154	2.561778198134e-18
hsa.mir.155	3.26654963398293e-26
hsa.mir.15a	1.06046946959757e-11
hsa.mir.15b	4.77530623025778e-35
hsa.mir.16.1	1.95748914894138e-48
hsa.mir.16.2	7.07613145560709e-42
hsa.mir.17	2.9124748769394e-59
hsa.mir.181a.1	5.42954002511581e-07
hsa.mir.181a.2	1.07778488735793e-20
hsa.mir.181b.1	1.27754964852978e-11
hsa.mir.181b.2	8.36777391930164e-17
hsa.mir.181c	6.82463145575185e-05
hsa.mir.181d	2.10024812686756e-07
hsa.mir.182	1.14611821366012e-07
hsa.mir.1825	0.78729246146543
hsa.mir.1827	0.0187171796648285
hsa.mir.183	3.97358582492858e-12
hsa.mir.184	5.0999646944591e-15
hsa.mir.185	2.65868194035708e-24
hsa.mir.186	6.05320605032011e-68
hsa.mir.187	6.75601883771042e-13
hsa.mir.188	4.87660781513587e-62
hsa.mir.18a	9.0539414235986e-67
hsa.mir.18b	1.6039134538604e-11
hsa.mir.190	0.000566538184904454
hsa.mir.1908	0.00230437042623034
hsa.mir.1909	0.0137758252523397
hsa.mir.190b	5.27315242416635e-67
hsa.mir.191	4.28134767018644e-46
hsa.mir.1910	3.54220572972721e-15
hsa.mir.1911	0.00569695390571857
hsa.mir.1912	0.968109257003797
hsa.mir.1913	0.0418830524027421
hsa.mir.1914	3.2147631986274e-11
hsa.mir.1915	5.77175681348162e-18
hsa.mir.192	4.11990323675522e-28
hsa.mir.193a	9.22785118821084e-09
hsa.mir.193b	1.41980745541285e-28
hsa.mir.194.1	0.384133938990574
hsa.mir.194.2	0.131850857188523
hsa.mir.195	2.03542364778207e-17
hsa.mir.196a.1	0.00175943349472014
hsa.mir.196a.2	1.94216576105743e-06
hsa.mir.196b	5.67779699084779e-41
hsa.mir.197	1.40605314111604e-72
