Gene	FDR
cg00001583	1.21350705353518e-27
cg00001747	3.13120139707188e-28
cg00002719	3.44469373529234e-52
cg00011616	6.2684848757114e-08
cg00013655	2.50057847526007e-20
cg00025347	4.32331046557754e-89
cg00034076	1.68941346526198e-46
cg00036011	1.18206680724831e-11
cg00041599	5.94980207820952e-21
cg00043510	5.56398413411203e-59
cg00055764	5.9424934414904e-21
cg00056066	2.0795290900736e-42
cg00063174	1.20277978526093e-31
cg00063471	2.61005585214877e-67
cg00064255	4.33639526275799e-66
cg00065215	8.48561006760315e-28
cg00067884	6.9270064737306e-99
cg00074145	1.48597185460076e-25
cg00076195	3.19997300361191e-47
cg00077547	4.63112255922658e-30
cg00082912	6.48379309258554e-08
cg00084338	1.3607819124207e-16
cg00089798	1.62884039820675e-58
cg00091953	6.57483916594621e-31
cg00095594	2.48241924688072e-65
cg00100121	1.86936916530716e-52
cg00106345	1.39447015462692e-40
cg00107682	6.10173461465455e-10
cg00107982	4.50736183430583e-27
cg00109302	1.32291072520326e-36
cg00117172	1.4981196108361e-74
cg00124375	1.60765837743025e-63
cg00133595	1.80457848044183e-24
cg00148513	7.94135095493448e-23
cg00150025	6.72065438492313e-60
cg00155310	1.9972553290804e-16
cg00157199	1.47140669254429e-16
cg00157796	2.57083426108446e-87
cg00160828	1.77521858971159e-17
cg00164949	1.9460291695339e-54
cg00166216	2.66957091474708e-37
cg00177787	3.09636552664775e-47
cg00186815	2.65388671620716e-18
cg00197993	1.21952335257733e-10
cg00199007	6.55782691411662e-32
cg00200653	1.70447845030274e-20
cg00204249	2.53817734703749e-07
cg00208274	3.01865871791527e-78
cg00210994	4.85706550581068e-29
cg00211215	0.0646628483855254
cg00212119	3.48877748792548e-55
cg00217080	5.67846048270758e-29
cg00223136	1.20952468404025e-11
cg00225603	1.49637252938271e-06
cg00241712	2.71253066325561e-22
cg00244745	7.62464445835062e-29
cg00250430	1.22100076233927e-48
cg00257271	2.25768722929372e-44
cg00267596	2.84458107650046e-57
cg00268185	6.31451960891941e-37
cg00268840	4.26499045540725e-62
cg00289546	5.49081330400538e-50
cg00295572	5.87245945758035e-47
cg00295794	2.28898397720804e-44
cg00303982	4.4807319538867e-49
cg00314029	2.41016173004141e-37
cg00317585	4.25939836243034e-05
cg00332802	1.71587217573625e-06
cg00333483	4.6114626095876e-29
cg00334063	5.1006927896776e-34
cg00343633	9.6647449671376e-58
cg00347563	2.78182809180479e-45
cg00347904	5.68852042267705e-36
cg00362657	1.72476041687037e-51
cg00373707	1.33815079830344e-30
cg00376544	5.79515246314323e-50
cg00377087	9.68676829462e-14
cg00377344	3.01473824472743e-20
cg00384539	1.55574027012007e-40
cg00393798	2.55157614338901e-70
cg00397324	1.32679402962374e-30
cg00399175	2.15364905493471e-69
cg00399591	7.88249995728401e-40
cg00405688	7.20567283356808e-20
cg00407546	5.54432472028609e-20
cg00421139	2.34782589321418e-38
cg00423153	2.77825538662474e-20
cg00428457	1.30052275349215e-97
cg00437985	2.63622016502529e-49
cg00438215	9.68569495967011e-11
cg00440032	2.62526858241905e-43
cg00442112	5.59653348133156e-72
cg00450784	7.17231475517452e-13
cg00450824	3.29291666330437e-80
cg00456343	0.000128670745186562
cg00459623	9.28475147494495e-42
cg00467244	2.64374866488794e-36
cg00469207	2.13167753828665e-50
cg00474017	1.3538381441443e-21
cg00481499	3.49691522311461e-11
cg00490406	9.57839172910433e-07
cg00491428	3.51709195537558e-14
cg00494337	5.72979367836972e-55
cg00494919	8.08234178757014e-24
cg00498591	6.29674064042209e-18
cg00498816	8.63595558253449e-49
cg00499781	1.02041024761318e-10
