Gene	FDR
A1BG.1	1.34409320453452e-42
A1CF.29974	0.0807929571180804
A2BP1.54715	7.97785528567627e-11
A2LD1.87769	6.73075677461285e-05
A2ML1.144568	8.01383763375245e-79
A2M.2	9.02136934735964e-64
A4GALT.53947	1.27911278451312e-16
A4GNT.51146	6.71032270508267e-05
AAA1.404744	0.000100547786119747
AAAS.8086	2.65182411073614e-39
AACSL.729522	4.2799324865933e-07
AACS.65985	1.04085588599289e-08
AADACL2.344752	0.0185406867175435
AADACL3.126767	1.40899599141676e-10
AADACL4.343066	6.79632709912849e-05
AADAC.13	1.04080777043516e-11
AADAT.51166	1.05654621161624e-48
AAGAB.79719	4.16705981470182e-78
AAK1.22848	1.94274459291264e-28
AAMP.14	1.11106604295375e-19
AANAT.15	5.75108286489926e-12
AARS2.57505	1.14045737043381e-28
AARSD1.80755	4.47072921583525e-17
AARS.16	2.29169704287323e-46
AASDHPPT.60496	8.47926880075735e-11
AASDH.132949	1.05325200583771e-17
AASS.10157	1.26417566941461e-44
AATF.26574	2.84248228654629e-16
AATK.9625	2.13498809294511e-13
ABAT.18	7.42347954337484e-92
ABCA10.10349	6.85108283578112e-76
ABCA11P.79963	8.07254535539943e-11
ABCA12.26154	3.93844080157597e-28
ABCA13.154664	1.34439958291808e-74
ABCA17P.650655	1.92435554201523e-07
ABCA1.19	1.21419460906097e-21
ABCA2.20	3.32664579383235e-40
ABCA3.21	1.91467723171684e-48
ABCA4.24	2.38004884187646e-06
ABCA5.23461	5.65056456767347e-06
ABCA6.23460	1.36674525276507e-81
ABCA7.10347	5.1078818435744e-19
ABCA8.10351	9.53448735470397e-81
ABCA9.10350	4.21550084125829e-81
ABCB10.23456	1.02877532354744e-06
ABCB11.8647	2.65203214542728e-08
ABCB1.5243	2.29163752218156e-68
ABCB4.5244	1.49906367271418e-25
ABCB5.340273	7.07564800457278e-46
ABCB6.10058	1.20298743044355e-10
ABCB7.22	2.190162697109e-07
ABCB8.11194	1.98892209145104e-29
ABCB9.23457	1.51231003341543e-10
ABCC10.89845	5.93083667147887e-43
ABCC11.85320	5.08679588856239e-62
ABCC12.94160	6.16102593340474e-34
ABCC13.150000	9.66378047318995e-35
ABCC1.4363	9.35470667112764e-15
ABCC2.1244	3.11021636012057e-07
ABCC3.8714	5.08566633526663e-23
ABCC4.10257	2.49653188080824e-46
ABCC5.10057	1.30285417291867e-18
ABCC6P1.653190	1.01252486523698e-21
ABCC6P2.730013	1.98223289480703e-16
ABCC6.368	1.86961048530459e-37
ABCC8.6833	1.12886917644033e-92
ABCC9.10060	1.84506911095612e-39
ABCD1.215	7.9605470183721e-20
ABCD2.225	3.61452459828757e-54
ABCD3.5825	2.77754026159079e-44
ABCD4.5826	1.05009847883777e-50
ABCE1.6059	2.21930220511062e-34
ABCF1.23	3.43970024691487e-45
ABCF2.10061	9.59066548906053e-24
ABCF3.55324	9.12898515462031e-17
ABCG1.9619	1.89060463007835e-58
ABCG2.9429	4.82804665943334e-57
ABCG4.64137	1.7681451423532e-12
ABCG5.64240	0.114387401556346
ABCG8.64241	0.000291048424932651
ABHD10.55347	9.42806150036562e-09
